No,Method,Sample.Name,Sample.Vial,Sample Vial Index,Executed
36,160721_vw_extended,27,1C4,20-04-2017 00:00:43,20-04-2017 00:00:43
37,160721_vw_extended,28,1D4,20-04-2017 00:12:43,20-04-2017 00:12:43
38,160721_vw_extended,29,1.00E+04,20-04-2017 00:24:43,20-04-2017 00:24:43
39,160721_vw_extended,30,1F4,20-04-2017 00:36:43,20-04-2017 00:36:43
40,160721_vw_extended,31,1G4,20-04-2017 00:48:43,20-04-2017 00:48:43
41,160721_vw_extended,32,1H4,20-04-2017 01:00:43,20-04-2017 01:00:43
42,160721_vw_extended,GOXQC5,1.00E+10,20-04-2017 01:12:43,20-04-2017 01:12:43
43,160721_vw_extended,33,1A5,20-04-2017 01:24:43,20-04-2017 01:24:43
44,160721_vw_extended,34,1B5,20-04-2017 01:36:43,20-04-2017 01:36:43
45,160721_vw_extended,35,1C5,20-04-2017 01:48:42,20-04-2017 01:48:42
46,160721_vw_extended,36,1D5,20-04-2017 02:00:42,20-04-2017 02:00:42
47,160721_vw_extended,37,1.00E+05,20-04-2017 02:12:42,20-04-2017 02:12:42
48,160721_vw_extended,38,1F5,20-04-2017 02:24:42,20-04-2017 02:24:42
49,160721_vw_extended,39,1G5,20-04-2017 02:36:42,20-04-2017 02:36:42
50,160721_vw_extended,40,1H5,20-04-2017 02:48:42,20-04-2017 02:48:42
51,160721_vw_extended,GOXQC6,1F10,20-04-2017 03:00:42,20-04-2017 03:00:42
52,160721_vw_extended,41,1A6,20-04-2017 03:12:42,20-04-2017 03:12:42
53,160721_vw_extended,42,1B6,20-04-2017 03:24:42,20-04-2017 03:24:42
54,160721_vw_extended,43,1C6,20-04-2017 03:36:42,20-04-2017 03:36:42
55,160721_vw_extended,44,1D6,20-04-2017 03:48:42,20-04-2017 03:48:42
56,160721_vw_extended,45,1.00E+06,20-04-2017 04:00:42,20-04-2017 04:00:42
57,160721_vw_extended,46,1F6,20-04-2017 04:12:42,20-04-2017 04:12:42
58,160721_vw_extended,47,1G6,20-04-2017 04:24:42,20-04-2017 04:24:42
59,160721_vw_extended,48,1H6,20-04-2017 04:36:42,20-04-2017 04:36:42
60,160721_vw_extended,GOXQC7,1G10,20-04-2017 04:48:42,20-04-2017 04:48:42
61,160721_vw_extended,49,1A7,20-04-2017 05:00:42,20-04-2017 05:00:42
62,160721_vw_extended,50,1B7,20-04-2017 05:12:41,20-04-2017 05:12:41
63,160721_vw_extended,51,1C7,20-04-2017 05:24:41,20-04-2017 05:24:41
64,160721_vw_extended,52,1D7,20-04-2017 05:36:41,20-04-2017 05:36:41
65,160721_vw_extended,53,1.00E+07,20-04-2017 05:48:41,20-04-2017 05:48:41
66,160721_vw_extended,54,1F7,20-04-2017 06:00:41,20-04-2017 06:00:41
67,160721_vw_extended,55,1G7,20-04-2017 06:12:41,20-04-2017 06:12:41
68,160721_vw_extended,56,1H7,20-04-2017 06:24:41,20-04-2017 06:24:41
69,160721_vw_extended,GOXQC8,1H10,20-04-2017 06:36:41,20-04-2017 06:36:41
70,160721_vw_extended,57,1A8,20-04-2017 06:48:41,20-04-2017 06:48:41
71,160721_vw_extended,58,1B8,20-04-2017 07:00:41,20-04-2017 07:00:41
72,160721_vw_extended,59,1C8,20-04-2017 07:12:41,20-04-2017 07:12:41
73,160721_vw_extended,60,1D8,20-04-2017 07:24:41,20-04-2017 07:24:41
74,160721_vw_extended,GOXQC9,1A11,20-04-2017 07:36:40,20-04-2017 07:36:40
75,160721_vw_extended,st1,1.00E+12,20-04-2017 07:48:40,20-04-2017 07:48:40
76,160721_vw_extended,st2,1F12,20-04-2017 08:00:40,20-04-2017 08:00:40
77,160721_vw_extended,st3,1G12,20-04-2017 08:12:40,20-04-2017 08:12:40
78,160721_vw_extended,st4,1H12,20-04-2017 08:24:41,20-04-2017 08:24:41
79,160721_vw_extended,throwaway,1G11,20-04-2017 08:36:41,20-04-2017 08:36:41
